Source Name,Project code,Project Name,Projects
TG2097_Monthly HSE Statistics Report GAD_Feb.xlsx,TG2097,Guggenheim Abu Dhabi Main Works,TG2097_Guggenheim Abu Dhabi Main Works
MSHC_PRJ_HSE_Stats_Report V4_00_Updated_Feb.xlsx,MSHC,"MotorSport Hotel Complex (MSHC) - Qiddiya, Saudi Arabia","MSHC_MotorSport Hotel Complex (MSHC) - Qiddiya, Saudi Arabia"
KAFD_PRJ_HSE_Stats_Report V4_00_Updated_Feb..xlsx,A04,"KAFD A.04, D&B parcels","A04_KAFD A.04, D&B parcels"
I073_PRJ_HSE_Stats_Report V4_00_Updated_Feb.xlsx,I073,Zaid Military university project (ZMU),I073_Zaid Military university project (ZMU)
I067_BNW_HSE_Stats_Report_NPC_FEB.xlsx,I067,Baniyas West,I067_Baniyas West
I066_Al Deem Development _HSE_Stats_Report V4_00_Updated_Feb.xlsx,I066,Al Deem Development ,I066_Al Deem Development 
I065 NPC_Saadiyat Lagoons_HSE_Stats_Report V4_00_Feb-2026.xlsx,I065,Saadiyat Lagoons,I065_Saadiyat Lagoons
I063_PRJ_HSE_Stats_Report V4_00_Updated_Feb.xlsx,I063,AL SAMHA 242 VILLAS,I063_AL SAMHA 242 VILLAS
I062_DIRD-NPC MONTHLY REPORT_Feb.xlsx,I062,DAS ISLAND RESIDENTIAL DEVELOPMENT PROJECT (DIRD),I062_DAS ISLAND RESIDENTIAL DEVELOPMENT PROJECT (DIRD)
I058_MBZEXPO_HSE_Stats_Report V4_00_Updated - Feb 26.xlsx,I058,Design & Build ( Contract P2216 :ETIHAD RAIL STAGE 4 PROJECT MBZ & EXPO Link ),I058_Design & Build ( Contract P2216 :ETIHAD RAIL STAGE 4 PROJECT MBZ & EXPO Link )
I055_PRJ_HSE_Stats_Report V4_00_Updated_Feb.xlsx,I055,Hudayriyat West Infrastructure Phase 01,I055_Hudayriyat West Infrastructure Phase 01
I053_PRJ_HSE_Stats_Report V4_00_Feb.xlsx,I053,Hudayriyat Island Priority Development Area,I053_Hudayriyat Island Priority Development Area
I052_PRJ_HSE_Stats_Report V4_00_Updated_Feb.xlsx,I052,Baniyas North Phase 2,I052_Baniyas North Phase 2
I045_RCN-Phase 6_HSE_Stats_Report V4_00_Updated_Feb.xlsx,I045,Riyadh city north development phase 6,I045_Riyadh city north development phase 6
A.11_KAFD.Grand Amphitheatre Car Park_HSE_Stats_Report V4_00_Updated_Feb.xlsx,A-11,Grand Amphitheatre Car Park,A-11_Grand Amphitheatre Car Park
I046 PRJCODE_PRJ_HSE_Stats_Report V4_Feb.xlsx,I046,Infrastrcture Work for package IIA & IIB,I046_Infrastrcture Work for package IIA & IIB
I049 PRJCODE_PRJ_HSE_Stats_Report V4_00_Feb.xlsx,I049,Construction of Essential Infrastructure Works Reem Island,I049_Construction of Essential Infrastructure Works Reem Island
I072 Phase 2_PRJ_HSE_Stats_Report V4_Feb.xlsx,I072,RHINF2 – Reem Hills Development ,I072_RHINF2 – Reem Hills Development 
I057 PRJCODE_PRJ_HSE_Stats_Report_Feb.xlsx,I057,Reem Hills-Phase 1,I057_Reem Hills-Phase 1
TG2153_HSE_Stats_Report_Feb.xlsx,TG2153,EPC FOR FUEL FACILITIES AT ZIA ,TG2153_EPC FOR FUEL FACILITIES AT ZIA 
TG2152_Stats_Report V4_00 Feb.xlsx,TG2152,WATER EDGE PHASE 2- YAS_IB 2 GARDENIA ,TG2152_WATER EDGE PHASE 2- YAS_IB 2 GARDENIA 
I064_PRJ_HSE_Stats_Report V4_E20_Feb.xlsx,I064,Traffic improvement on E20 and Construction of 2 Bridges (IC3 and IC5),I064_Traffic improvement on E20 and Construction of 2 Bridges (IC3 and IC5)
TG2140_HSE_Stats_Report V4_Feb.xlsx,TG2140,Construction Of Mainland Villas 218No's,TG2140_Construction Of Mainland Villas 218No's
S013_CITY WALK PROJECT_HSE_Stats_Feb.xlsx,S013,City walk ,S013_City walk 
I071_PRJ_HSE_Stats_Report V4_00_Updated_Feb.xlsx,I071,Contract No. P2411-BUILD CONTRACT FOR JBL 5,I071_Contract No. P2411-BUILD CONTRACT FOR JBL 5
TG 2144- MONTHLY STATISTICS REPORT_Feb.xlsx,TG2144,CONSTRUCTION OF TOWNHOUSES & SD VILLAS-PHASE 1B & 1C,TG2144_CONSTRUCTION OF TOWNHOUSES & SD VILLAS-PHASE 1B & 1C
TG2150 -CMW -HSE-Stats-Report_Feb.xlsx,TG2150,Command of Military Works,TG2150_Command of Military Works
I059_Al Falah HSE_Stats_Report V4_00_Updated_Feb.xlsx,I059,Al Falah Infrastructure Works,I059_Al Falah Infrastructure Works
TEW1007_Masdar Hybrid 1(Power China)_HSE_Stats_Report_Feb.xlsx,TEW1007,Masdar Hybrid 1(Power China),TEW1007_Masdar Hybrid 1(Power China)
A.11_KAFD.Grand Amphitheatre Car Park_HSE_Mar.xlsx,A-11,Grand Amphitheatre Car Park,A-11_Grand Amphitheatre Car Park
A04 KAFD_PRJ_HSE_Stats_Report V4_Rev_Mar.xlsx,A04,"KAFD A.04, D&B parcels","A04_KAFD A.04, D&B parcels"
I045_ RCN-Phase 6_HSE_Stats_Report_Mar.xlsx,I045,Riyadh city north development phase 6,I045_Riyadh city north development phase 6
